epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
69,4776.39,0.41373,0.32769,0.00542,8e-05,0.95232,0.96249,0.96152,0.94833,0.25115,0.23568,0.00239,1e-05,0.0006536,0.0006536,0.0006536
70,4845.28,0.4159,0.33093,0.00526,9e-05,0.94023,0.94761,0.9686,0.95122,0.24659,0.25192,0.00227,0,0.0006338,0.0006338,0.0006338
71,4914.11,0.40688,0.32999,0.00536,0.00017,0.96305,0.94213,0.97915,0.96111,0.23852,0.20963,0.0021,1e-05,0.000614,0.000614,0.000614
72,4982.82,0.41323,0.3308,0.00533,9e-05,0.94016,0.94645,0.97515,0.95363,0.25283,0.25425,0.00239,1e-05,0.0005942,0.0005942,0.0005942
73,5051.53,0.39991,0.33087,0.00541,0.00019,0.94962,0.96386,0.97879,0.9581,0.25243,0.22763,0.00239,1e-05,0.0005744,0.0005744,0.0005744
74,5120.33,0.41511,0.30284,0.00495,0.00012,0.9508,0.93135,0.97588,0.95349,0.24464,0.23703,0.00217,0,0.0005546,0.0005546,0.0005546
75,5189.17,0.39894,0.31941,0.00527,6e-05,0.95723,0.94367,0.97053,0.95529,0.22624,0.2073,0.00197,1e-05,0.0005348,0.0005348,0.0005348
76,5257.92,0.40569,0.31775,0.00509,0.00011,0.96316,0.95181,0.97877,0.9587,0.23584,0.22039,0.00216,0,0.000515,0.000515,0.000515
77,5326.8,0.40039,0.31626,0.00481,7e-05,0.97763,0.92169,0.96069,0.94835,0.25757,0.21852,0.00234,1e-05,0.0004952,0.0004952,0.0004952
78,5395.61,0.3882,0.32404,0.00542,6e-05,0.95968,0.93373,0.95902,0.94996,0.23974,0.23881,0.00208,1e-05,0.0004754,0.0004754,0.0004754
79,5464.37,0.4015,0.31629,0.00527,9e-05,0.96118,0.94578,0.96252,0.95125,0.23548,0.21109,0.00208,0,0.0004556,0.0004556,0.0004556
80,5533.26,0.38164,0.28821,0.00514,9e-05,0.96259,0.93007,0.96063,0.94698,0.25082,0.20637,0.00233,1e-05,0.0004358,0.0004358,0.0004358
81,5601.98,0.38621,0.2829,0.00508,8e-05,0.95103,0.93976,0.96066,0.95376,0.22923,0.255,0.00212,0,0.000416,0.000416,0.000416
82,5670.9,0.38646,0.29708,0.00564,0.00011,0.95397,0.93373,0.96075,0.95007,0.25278,0.21122,0.00244,0,0.0003962,0.0003962,0.0003962
83,5739.65,0.37128,0.28193,0.00486,6e-05,0.95059,0.93373,0.95921,0.94515,0.2517,0.23229,0.00229,1e-05,0.0003764,0.0003764,0.0003764
84,5808.32,0.3744,0.29165,0.00493,7e-05,0.95722,0.94348,0.95982,0.94955,0.23943,0.27592,0.00213,1e-05,0.0003566,0.0003566,0.0003566
85,5876.99,0.38529,0.28869,0.00503,7e-05,0.94005,0.94578,0.95958,0.95025,0.23021,0.26996,0.00205,1e-05,0.0003368,0.0003368,0.0003368
86,5945.71,0.37082,0.27209,0.00497,7e-05,0.9682,0.93373,0.95919,0.94428,0.23206,0.28628,0.00207,2e-05,0.000317,0.000317,0.000317
87,6014.51,0.36621,0.26363,0.0048,6e-05,0.95445,0.93373,0.95941,0.94294,0.22508,0.2819,0.0021,2e-05,0.0002972,0.0002972,0.0002972
88,6083.28,0.36579,0.27963,0.00454,4e-05,0.95668,0.93126,0.95982,0.94668,0.23464,0.26129,0.0021,1e-05,0.0002774,0.0002774,0.0002774
89,6152.05,0.36634,0.27761,0.00467,7e-05,0.94465,0.94578,0.95916,0.94643,0.22811,0.27018,0.00215,0,0.0002576,0.0002576,0.0002576
